"33ejh","33ejh.rsn","3x3 Eyes: Juuma Houkan"
"bnts","bnts.rsn","Bounty Sword"
"bob","bob.rsn","B.O.B."
"bobby","bobby.rsn","Bobby's World"
"bof","bof.rsn","Breath of Fire"
"bof2","bof2.rsn","Breath of Fire 2"
"bonk","bonk.rsn","Super Bonk"
"boog","boog.rsn","Boogerman"
"botb","botb.rsn","Best of the Best: Championship Karate"
"br","br.rsn","Batman Returns"
"brace","brace.rsn","Battle Racers"
"brain","brain.rsn","Brainies"
"brawl","brawl.rsn","Brawl Brothers"
"brbr","brbr.rsn","Barbarossa"
"breakt","breakt.rsn","BreakThru!"
"brj","brj.rsn","Batman: Revenge of the Joker"
"brld","brld.rsn","Brain Lord"
"brnr","brnr.rsn","Brass Numbers"
"bronk","bronk.rsn","Bronkie"
"brtl","brtl.rsn","Brutal: Paws of Fury"
"bsd","bsd.rsn","Bram Stoker's Dracula"
"bsdq","bsdq.rsn","BS Dragon Quest"
"bsec","bsec.rsn","Beethoven's 2nd"
"bshs","bshs.rsn","Bushi Seiryuden"
"bsim","bsim.rsn","Super Baseball Simulator 1.000"
"bsj","bsj.rsn","Barkley: Shut Up and Jam!"
"bsm","bsm.rsn","Barbie Super Model"
"bsmr","bsmr.rsn","Bishoujo Senshi Sailormoon R"
"bsnm","bsnm.rsn","BS Nichibutsu Mahjong"
"bssm","bssm.rsn","Bishoujo Senshi Sailormoon"
"bssw2","bssw2.rsn","BS Saterawalker 2"
"bst","bst.rsn","Big Sky Trooper"
"bsub","bsub.rsn","Battle Submarine"
"bsx","bsx.rsn","Satellaview BS-X"
"bsz","bsz.rsn","BS Zelda"
"btbm","btbm.rsn","Battletoads in Battlemania"
"btbz","btbz.rsn","Battle Blaze"
"btdd","btdd.rsn","Battletoads & Double Dragon"
"btfh","btfh.rsn","Battle Tycoon: Flash Hiders SFX"
"btgp","btgp.rsn","Battle Grand Prix"
"btmb","btmb.rsn","Gekitotsu Dangan Jidousha Kessen: Battle Mobile"
"btpb","btpb.rsn","Battle Pinball"
"btrex","btrex.rsn","Baby T-Rex"
"btsc","btsc.rsn","Battle Soccer: Field no Hasha"
"btsc2","btsc2.rsn","Battle Soccer 2"
"bug","bug.rsn","A Bug's Life (Super Gameboy)"
"burai","burai.rsn","Burai - Hachigyoku no Yuushi Densetsu"
"burn","burn.rsn","SNES Burn-in Test Cart"
"bust","bust.rsn","BS Buster's Digital Magazine"
"bva","bva.rsn","Barbie Vacation Adventure"
"bvb","bvb.rsn","Bulls vs. Blazers"
"bwcf","bwcf.rsn","Bill Walsh College Football"
"bwh","bwh.rsn","Bishoujo Wrestlinger's History"
"bwtc","bwtc.rsn","Brunswick World Tournament of Champions"
"bzd","bzd.rsn","Battle Zeque Den"
"cace","cace.rsn","Carrier Aces"
"cagj","cagj.rsn","Cute Angela: Great Journey"
"cakn","cakn.rsn","Cacoma Knight"
"cano","cano.rsn","Captain Novolin"
"capam","capam.rsn","Captain America and the Avengers"
"captc","captc.rsn","Captain Commando"
"car","car.rsn","Gekisou Sentai Car Rangers"
"card","card.rsn","Cardmaster (Arcana)"
"cas","cas.rsn","Casper (Japanese Version)"
"casp","casp.rsn","Casper (American Version)"
"cb","cb.rsn","Crystal Beans, From Dungeon Explorer"
"cb9","cb9.rsn","Cyborg 009"
"cbcw","cbcw.rsn","CB Chara Wars"
"cbtr","cbtr.rsn","Combatribes"
"cctcf","cctcf.rsn","Chester Cheetah: Too Cool to Fool"
"ccup","ccup.rsn","Cannondale Cup"
"ccwwq","ccwwq.rsn","Chester Cheetah Wild Wild Quest"
"cd79","cd79.rsn","Kidou Senshi Gundam: Cross Dimension 0079"
"cf","cf.rsn","Cannon Fodder"
"cfu97","cfu97.rsn","College Football USA '97"
"cgp","cgp.rsn","Cosmo Gang the Puzzle"
"cgv","cgv.rsn","Cosmo Gang the Video"
"cheap","cheap.rsn","BS Cheap de Gorgeous"
"chinh","chinh.rsn","Chinhai"
"cho","cho.rsn","Chou Aniki: Bakuretsu Rantou Hen"
"circ","circ.rsn","Kyle Petty's No Fear Racing (Circuit USA)"
"civ","civ.rsn","Civilization"
"ck","ck.rsn","Cyber Knight"
"ck2","ck2.rsn","Cyber Knight 2"
"cl3","cl3.rsn","Choplifter 3"
"clay","clay.rsn","Clay Fighter"
"cliff","cliff.rsn","Cliffhanger"
"clue","clue.rsn","Clue"
"cmf","cmf.rsn","Capcom's MVP Football"
"cml","cml.rsn","Cameltry (On the Ball)"
"cn","cn.rsn","Cybernator"
"cngc","cngc.rsn","Congo's Caper"
"cnkub","cnkub.rsn","Computer Nouryoku Kaiseki Ultra Baken"
"cntr3","cntr3.rsn","Contra 3"
"col","col.rsn","Columns"
"colu","colu.rsn","BS Columbus no Tamagoyaki"
"coolw","coolw.rsn","Cool World"
"cop","cop.rsn","Cu-On-Pa"
"corl","corl.rsn","Coron Land"
"cornb","cornb.rsn","Corn Buster"
"cp","cp.rsn","Championship Pool"
"cpg2","cpg2.rsn","Cosmo Police Galivan 2"
"crjb","crjb.rsn","Cal Ripken Jr. Baseball"
"crock","crock.rsn","Chuck Rock"
"crs","crs.rsn","Crayon Shin-chan: Arashi wo yobu Enji"
"crs2","crs2.rsn","Crayon Shin-chan 2"
"crsnd","crsnd.rsn","Crayon Shin-chan: Nagagutsu Dobon!!"
"cs","cs.rsn","Chaos Seed"
"csb","csb.rsn","College Slam Basketball"
"csc","csc.rsn","Caravan Shooting Collection"
"cspot","cspot.rsn","Cool Spot"
"csz","csz.rsn","Congo the Movie: The Secret of Zinj"
"ct","ct.rsn","Chrono Trigger"
"ct3","ct3.rsn","Captain Tsubasa 3"
"ct4","ct4.rsn","Captain Tsubasa 4"
"ct5","ct5.rsn","Captain Tsubasa 5"
"ctc","ctc.rsn","Controller Test Cartridge"
"cti","cti.rsn","Cutthroat Island"
"ctj","ctj.rsn","Captain Tsubasa J"
"ctow","ctow.rsn","Clock Tower"
"ctp","ctp.rsn","Chrono Trigger Pre-Release"
"cttn","cttn.rsn","M"
"cw","cw.rsn","Clock Works"
"cwcs","cwcs.rsn","Champions World Class Soccer"
"daha","daha.rsn","Dark Half"
"dala","dala.rsn","Dark Law - Meaning of Death"
"dals","dals.rsn","Dolucky's A-League Soccer"
"dance","dance.rsn","Tuff E Nuff"
"dany","dany.rsn","Super Dany"
"dark","dark.rsn","Dark Kingdom"
"dars","dars.rsn","The Death and Return of Superman"
"dbc","dbc.rsn","Daze Before Christmas"
"dbhd","dbhd.rsn","Dragon Ball Z: Hyper Dimension"
"dbls","dbls.rsn","Dragon: The Bruce Lee Story"
"dboys","dboys.rsn","Dear Boys"
"dbra","dbra.rsn","Death Brade"
"dbth","dbth.rsn","Dragon Ball Z Super Gokuden: Totsugeki-Hen"
"dbzb","dbzb.rsn","Dragon Ball Z: Super Butouden"
"dbzb2","dbzb2.rsn","Dragon Ball Z: Super Butouden 2"
"dbzb3","dbzb3.rsn","Dragon Ball Z: Super Butouden 3"
"dbzr","dbzr.rsn","Dragon Ball Z RPG: Legend of the Super Saiya-jin"
"dc","dc.rsn","Demon's Crest"
"dcat","dcat.rsn","David Crane's Amazing Tennis"
"dd5","dd5.rsn","Double Dragon 5"
"ddmb","ddmb.rsn","Donald Duck: Mahou no Boushi"
"dds","dds.rsn","Dino Dini's Soccer"
"de","de.rsn","Daisenryaku Expert"
"de2","de2.rsn","Daisenryaku Expert WWII"
"deman","deman.rsn","Demolition Man"
"dezae","dezae.rsn","Kaite Tukutte Asoberu Dezaemon"
"df","df.rsn","Darius Force (Super Nova)"
"dgb","dgb.rsn","Dossun! Ganseki Battle"
"dhdo","dhdo.rsn","Dharma Doujou"
"dici","dici.rsn","Dino City"
"difo","difo.rsn","Dimension Force"
"dirt","dirt.rsn","Dirt Racer"
"dirty","dirty.rsn","Kinnikuman: Dirty Challenger"
"dj","dj.rsn","Derby Jockey"
"dj2","dj2.rsn","Derby Jockey 2"
"dk","dk.rsn","Donkey Kong (Super Gameboy)"
"dk4","dk4.rsn","Dragon Knight 4"
"dkc","dkc.rsn","Donkey Kong Country"
"dkdt","dkdt.rsn","Donkey Kong Country 3"
"dkm","dkm.rsn","Dai Kaiju Monogatari"
"dkq","dkq.rsn","Donkey Kong Country 2"
"dks2","dks2.rsn","Doukyuusei 2"
"dkvt","dkvt.rsn","Date Kimiko no Virtual Tennis"
"dky","dky.rsn","Dolucky's Kusa Yakyu"
"dl","dl.rsn","Der Langrisser"
"dlp","dlp.rsn","Demon of Laplace"
"dlpt","dlpt.rsn","Dolucky no Puzzle Tour '94"
"dm","dm.rsn","Dungeon Master"
"dmkd","dmkd.rsn","Dream Maze: Kigurumi Daibouken"
"dnbm","dnbm.rsn","Downtown Nekketsu Baseball Monogatari"
"do","do.rsn","Dual Orb"
"do2","do2.rsn","Dual Orb 2"
"doh","doh.rsn","Arkanoid: Doh it Again"
"doka","doka.rsn","Dokapon 321"
"doom","doom.rsn","Doom"
"dor","dor.rsn","Doraemon"
"dor2","dor2.rsn","Doraemon 2"
"dor3","dor3.rsn","Doraemon 3"
"dor4","dor4.rsn","Doraemon 4"
"dq12","dq12.rsn","Dragon Quest 1 & 2"
"dq3","dq3.rsn","Dragon Quest 3"
"dq5","dq5.rsn","Dragon Quest 5"
"dq6","dq6.rsn","Dragon Quest 6"
"dqai","dqai.rsn","Dorque and Imp"
"drea","drea.rsn","Dragon's Earth"
"drf","drf.rsn","Adventures of Dr. Franken"
"drk","drk.rsn","Drakkhen"
"drla","drla.rsn","Dragon's Lair"
"drm","drm.rsn","BS Do-Re-Mi"
"drmf","drmf.rsn","Do-Re-Mi Fantasy: Milon no DokiDoki Daibouken"
"ds9","ds9.rsn","Star Trek Deep Space Nine: The Crossroads of Time"
"dslh","dslh.rsn","Dragon Slayer: The Legend of Heroes"
"dsrg","dsrg.rsn","Desert Strike: Return to the Gulf"
"dt","dt.rsn","DynamiTracer"
"dtai","dtai.rsn","Deae Tonosama Appare Ichiban"
"dtfx","dtfx.rsn","Dirt Trax FX"
"dtlv","dtlv.rsn","Dynamaite: The LasVegas"
"dtm","dtm.rsn","Dennis the Menace"
"dtr","dtr.rsn","Doom Troopers"
"dtv","dtv.rsn","Dream TV"
"dtw","dtw.rsn","Down the World"
"dtwin","dtwin.rsn","Darius Twin"
"dunq","dunq.rsn","Dun Quest"
"dv","dv.rsn","Dragon View (Drakkhen 2)"
"dvr","dvr.rsn","Road Runner's Death Valley Rally"
"dx","dx.rsn","Dracula X (Castlevania V: Vampire's Kiss)"
"earl","earl.rsn","Earth Light"
"eb","eb.rsn","Energy Breaker"
"ebt","ebt.rsn","ESPN Baseball Tonight"
"ed","ed.rsn","Estpolis Denki (Lufia and the Fortress of Doom)"
"ed2","ed2.rsn","Lufia 2: Rise of the Sinistrals"
"edf","edf.rsn","Super E.D.F. - Earth Defense Force"
"edk","edk.rsn","Edo no Kiba"
"eh","eh.rsn","Exhaust Heat"
"eh2","eh2.rsn","Exhaust Heat 2"
"ehn","ehn.rsn","ESPN National Hockey Night"
"eikt","eikt.rsn","Sangokushi Eiketsu Den"
"elf","elf.rsn","Elfaria"
"elf2","elf2.rsn","Elfaria 2"
"emd","emd.rsn","Emerald Dragon"
"enf","enf.rsn","Eien no Filena"
"eotb","eotb.rsn","Eye of the Beholder"
"eq","eq.rsn","Equinox (Solstice II)"
"esc","esc.rsn","Elite Soccer"
"esf","esf.rsn","Emmitt Smith Football"
"espns","espns.rsn","ESPN Sunday Night NFL"
"esprk","esprk.rsn","Esparks: Ijikuu kara no Raihousha"
"espw","espw.rsn","ESPN Speedworld"
"est2p","est2p.rsn","Estpolis Denki 2 (Lufia 2) Prototype"
"etc","etc.rsn","EEK! The Cat"
"eurit","eurit.rsn","Eurit"
"evo","evo.rsn","E.V.O.: Search for Eden"
"ewj","ewj.rsn","Earthworm Jim"
"ewj2","ewj2.rsn","Earthworm Jim 2"
"f1gp","f1gp.rsn","F-1 Grand Prix"
"f1gp2","f1gp2.rsn","F-1 Grand Prix Part II"
"f1gp3","f1gp3.rsn","F-1 Grand Prix Part III"
"f1wc","f1wc.rsn","F1 World Championship Edition"
"f91","f91.rsn","Gundam F-91"
"f97gb","f97gb.rsn","FIFA Soccer '97 (Super Gameboy)"
"f98gb","f98gb.rsn","FIFA Soccer '98 (Super Gameboy)"
"famd","famd.rsn","Family Dog"
"fb","fb.rsn","Faceball 2000"
"fdogs","fdogs.rsn","Ren & Stimpy Show: Fire Dogs"
"fdp","fdp.rsn","Fight da Pon!"
"fe3","fe3.rsn","Fire Emblem: Mystery of the Emblem"
"fe4","fe4.rsn","Fire Emblem: Genealogy of Holy-War"
"feoez","feoez.rsn","Tengai Makyo Zero (Far East of Eden Zero)"
"fet","fet.rsn","Fire Emblem Thracia 776"
"feud","feud.rsn","Family Feud"
"ff4","ff4.rsn","Final Fantasy 4"
"ff5","ff5.rsn","Final Fantasy V"
"ff6","ff6.rsn","Final Fantasy 6"
"ffi","ffi.rsn","Final Fight"
"ffi2","ffi2.rsn","Final Fight 2"
"ffi3","ffi3.rsn","Final Fight 3"
"fflea","fflea.rsn","Frantic Flea"
"ffmq","ffmq.rsn","Final Fantasy USA: Mystic Quest"
"ffr","ffr.rsn","Foreman For Real"
"ffu","ffu.rsn","Fatal Fury"
"ffu2","ffu2.rsn","Fatal Fury 2"
"ffus","ffus.rsn","Fatal Fury Special"
"fgpx","fgpx.rsn","Future GPX: Cyber Formula"
"fh","fh.rsn","Fighter's History"
"fh2","fh2.rsn","Fighter's History 2"
"fhbd","fhbd.rsn","Flying Hero - Bugyuru no Daibouken"
"fir","fir.rsn","The Firemen"
"firea","firea.rsn","Firearm"
"flint","flint.rsn","Flintstones"
"fls","fls.rsn","Flashback"
"fm","fm.rsn","Front Mission"
"fmw","fmw.rsn","Onita Atsushi FMW"
"fng","fng.rsn","Fun 'N Games"
"footf","footf.rsn","Football Fury"
"fpwx","fpwx.rsn","Super Fire Pro Wrestling X"
"fq","fq.rsn","First Queen"
"frgr","frgr.rsn","Frogger"
"frog","frog.rsn","FrogNES"
"frsa","frsa.rsn","First Samurai"
"fs","fs.rsn","Farland Story"
"fs2","fs2.rsn","Farland Story 2"
"fs96","fs96.rsn","FIFA Soccer '96"
"fs97","fs97.rsn","FIFA 97: Gold Edition"
"fsr","fsr.rsn","Fire Striker"
"fst","fst.rsn","Finalset Tennis"
"fstr","fstr.rsn","Final Stretch"
"ftb","ftb.rsn","Masaki Shimono no Fishing To Bassing"
"ftc2","ftc2.rsn","Famicom Tantei Club 2"
"ftm","ftm.rsn","Fireteam Rogue"
"ftr","ftr.rsn","Full Throttle Racing"
"ftsd","ftsd.rsn","From TV Animation Slam Dunk"
"ftsd2","ftsd2.rsn","From TV Animation Slam Dunk 2"
"ftsdh","ftsdh.rsn","From TV Animation Slam Dunk: SD Heat Up!"
"ftsm","ftsm.rsn","Flintstones: Treasure of Sierra Madrock"
"furo","furo.rsn","BS Furoito no Chousenjou"
"fz","fz.rsn","F-Zero"
"gadg","gadg.rsn","Inspector Gadget"
"gage","gage.rsn","Game Genie"
"gam","gam.rsn","Gamars Copier"
"gambh","gambh.rsn","Gamble Hourouki"
"gb3","gb3.rsn","Great Battle 3"
"gb4","gb4.rsn","The Great Battle IV"
"gb5","gb5.rsn","Great Battle 5"
"gbg2","gbg2.rsn","Great Battle Gaiden 2"
"gboy","gboy.rsn","Kuusou Kagaku Sekai Gulliver Boy"
"gbt","gbt.rsn","Gokinjo Bouken Tai"
"gcd","gcd.rsn","Ghost Chaser Densei"
"gd3","gd3.rsn","Gradius 3"
"gdl","gdl.rsn","GD Leen"
"gdng","gdng.rsn","Ganbare Daiku no Gensan"
"ged","ged.rsn","Ginga Eiyuu Densetsu"
"gek","gek.rsn","BS Gekkan Coin Toss Deck"
"gen2","gen2.rsn","Genocide 2"
"genjr","genjr.rsn","Genjuu Ryodan"
"gfko","gfko.rsn","George Foreman's KO Boxing"
"gg","gg.rsn","Ganbare Goemon (Legend of the Mystical Ninja)"
"gg2","gg2.rsn","Ganbare Goemon 2: Kiteretsu Shogun Magginesu!"
"gg3","gg3.rsn","Ganbare Goemon 3: Shishi Juroku Hyoe no Karakuri Manji Katame!"
"gg4","gg4.rsn","Ganbare Goemon 4: Kirakira Douchuu"
"gga","gga.rsn","Go Go Ackman"
"gga2","gga2.rsn","Go Go Ackman 2"
"gga3","gga3.rsn","Go Go Ackman 3"
"ggdl","ggdl.rsn","Go! Go! Dodge League"
"ggg","ggg.rsn","Gan Gan Ganchan"
"gggs","gggs.rsn","Gamera: Gyaosu Gekimetsu Sakusen"
"gh","gh.rsn","Front Mission: Gun Hazard"
"ghis","ghis.rsn","Granhistoria"
"ghoul","ghoul.rsn","Ghoul Patrol"
"gion","gion.rsn","Gionbana"
"gjc2","gjc2.rsn","Gambler Jiko Chuushinha 2: Dorapon Quest"
"gk2","gk2.rsn","Super Aoki Ookami to Shiroki Mejika: Genchou Hishi (Genghis Khan 2: Clan of the Grey Wolf)"
"gkd","gkd.rsn","Godzilla: Kaijuu Daikessen"
"gkh","gkh.rsn","Gakko de atta Kowai Hanashi"
"gna","gna.rsn","Getsumen no Anubis"
"gnk","gnk.rsn","Gegege no Kitaro"
"gnpl","gnpl.rsn","Gunple: Gunman's Proof"
"god","god.rsn","G.O.D.: Mezameyo to Yobu Koe ha Kikoe"
"gods","gods.rsn","Gods"
"gp","gp.rsn","Gokujyo Parodius (Parodius 2)"
"gp1","gp1.rsn","Gp-1"
"gp1p2","gp1p2.rsn","GP-1 Part II"
"gpgg7","gpgg7.rsn","BS Goods Press 7"
"gpggs","gpggs.rsn","BS Goods Press 3"
"gpo","gpo.rsn","Ganso Pachinko Ou"
"grobo","grobo.rsn","Galaxy Robo"
"gs","gs.rsn","Shinzui Taikyoku Igo Go Sennin"
"gsby","gsby.rsn","Gourmet Sentai Bara Yarou"
"gsgr","gsgr.rsn","Ginga Sengoku Gunyuuden Rai"
"gsm","gsm.rsn","Ghost Sweeper Mikami: Gokuraku Daisakusen"
"gt","gt.rsn","Goof Troop"
"gtr","gtr.rsn","GT Racing"
"gunf","gunf.rsn","Gun Force"
"guts","guts.rsn","Nickelodeon GUTS"
"gw","gw.rsn","Galaxy Wars"
"gwed","gwed.rsn","Gundam Wing: Endless Duel"
"h7f","h7f.rsn","Hisshou 777 Fighter"
"h7f2","h7f2.rsn","Hisshou 777 Fighter II"
"h7f3","h7f3.rsn","Hisshou 777 Fighter III"
"ha","ha.rsn","Home Alone"
"ha2","ha2.rsn","Home Alone 2"
"hag","hag.rsn","Hagane"
"hahe","hahe.rsn","Hanjuku Hero"
"haji","haji.rsn","Hajimari no Mori (The Forest of Beginnings)"
"hb","hb.rsn","Harapeko Bakka"
"hb3","hb3.rsn","Hardball 3"
"hbtt","hbtt.rsn","Hanna Barbera's Turbo Toons"
"hdn","hdn.rsn","Hiouden: Mamono Tachi Tono Chikai"
"he3","he3.rsn","Heracles no Eikou III"
"he4","he4.rsn","Heracles no Eikou IV: Kamigami kara no Okurimono"
"herc","herc.rsn","Hercules (Super Gameboy)"
"hf","hf.rsn","Hanafuda"
"hfo","hfo.rsn","Hanafuda Ou"
"hgb","hgb.rsn","Hourai Gakuen no Bouken"
"hgp","hgp.rsn","Human Grand Prix"
"hgp2","hgp2.rsn","Human Grand Prix 2"
"hgp3","hgp3.rsn","Human Grand Prix 3"
"hgp4","hgp4.rsn","Human Grand Prix 4"
"hgs","hgs.rsn","Heisei Gunjin Shougi"
"hha","hha.rsn","Harley's Humongous Adventure"
"hhu","hhu.rsn","Heian Huunden"
"higo","higo.rsn","Honkakuha Igo: Gosei"
"himp","himp.rsn","Home Improvement"
"hk5","hk5.rsn","Hokuto no Ken 5"
"hk6","hk6.rsn","Hokuto no Ken 6"
"hk7","hk7.rsn","Hokuto no Ken 7"
"hk97","hk97.rsn","Hong Kong 97"
"hkgf","hkgf.rsn","Hiryu no Ken S: Golden Fighter"
"hmat","hmat.rsn","Honkaku Mahjong Tetsuman"
"hmos","hmos.rsn","Habu Meijin no Omoshiro Shougi"
"hmr","hmr.rsn","Haisei Mahjong Ryouga"
"hnd","hnd.rsn","Hunchback of Notre Dame (Super Gameboy)"
"hndd","hndd.rsn","Honoo no Toukyuuji: Dodge Danpei"
"hnms","hnms.rsn","Hayazashi Nidan - Morita Shogi"
"hnp","hnp.rsn","Hebereke no Popun"
"hook","hook.rsn","Hook"
"hopi","hopi.rsn","Hebereke no Oishii Puzzle wa Irimasekna"
"hos","hos.rsn","Head-On Soccer"
"hp93","hp93.rsn","Hakunetsu Pro Yakyuu '93: Ganba League"
"hp94","hp94.rsn","Hakunetsu Pro Yakyuu '94: Ganba League 3"
"hpgl","hpgl.rsn","Hakunetsu Pro Yakyuu: Ganba League"
"hro","hro.rsn","Hunt for Red October"
"hs","hs.rsn","Hero Senki"
"hsfr","hsfr.rsn","Honkaku Shougi Fuuunji Ryuuou"
"hsh","hsh.rsn","Hashire Hebereke"
"ht","ht.rsn","Hurricanes Trainer"
"hth2","hth2.rsn","Hat Trick Hero 2"
"hti","hti.rsn","Hit the Ice"
"hu","hu.rsn","Holy Umbrella"
"hulk","hulk.rsn","The Incredible Hulk"
"human","human.rsn","Humans"
"hurr","hurr.rsn","Hurricanes"
"hvbsv","hvbsv.rsn","Hyper V-Ball (Super Volley II)"
"hyir","hyir.rsn","Hyper Iria"
"hyst","hyst.rsn","Hysteria"
"hzkd","hzkd.rsn","Hansei Zarujirou Kun no Daibouken (Spanky's Quest)"
"hzone","hzone.rsn","Hyper Zone"
"icom","icom.rsn","Iron Commando"
"idea","idea.rsn","Idea no Hi"
"igf","igf.rsn","Ignition Factor"
"igoc","igoc.rsn","Igo Club"
"ihrsd","ihrsd.rsn","Itou Hatasu Rokudan no Shougi Dojo"
"ijga","ijga.rsn","Indiana Jones' Greatest Adventures"
"im","im.rsn","Ihatovo Monogatari"
"imp","imp.rsn","Imperium"
"inca","inca.rsn","Incantation"
"ini","ini.rsn","Inindo: Way of the Ninja (Super Inindo: Datou Nobunaga)"
"ins","ins.rsn","Illvanian no Shiro"
"iog","iog.rsn","Illusion of Gaia"
"ipgt","ipgt.rsn","Ippatsu Gyakuten: Keiba Keirin Kyotei"
"is2","is2.rsn","Itadaki Street 2"
"isbv","isbv.rsn","Inazuma Serve da!!"
