"herc","herc.rsn","Hercules (Super Gameboy)","",""
"hhu","hhu.rsn","Heian Huunden","",""
"higo","higo.rsn","Honkakuha Igo: Gosei","",""
"hk97","hk97.rsn","Hong Kong 97","",""
"hkgf","hkgf.rsn","Hiryu no Ken S: Golden Fighter","",""
"hmat","hmat.rsn","Honkaku Mahjong Tetsuman","",""
"hmr","hmr.rsn","Haisei Mahjong Ryouga","",""
"hnd","hnd.rsn","Hunchback of Notre Dame (Super Gameboy)","",""
"hndd","hndd.rsn","Honoo no Toukyuuji: Dodge Danpei","",""
"hnms","hnms.rsn","Hayazashi Nidan - Morita Shogi","",""
"hopi","hopi.rsn","Hebereke no Oishii Puzzle wa Irimasekna","",""
"hp93","hp93.rsn","Hakunetsu Pro Yakyuu '93: Ganba League","",""
"hp94","hp94.rsn","Hakunetsu Pro Yakyuu '94: Ganba League 3","",""
"hpgl","hpgl.rsn","Hakunetsu Pro Yakyuu: Ganba League","",""
"hsfr","hsfr.rsn","Honkaku Shougi Fuuunji Ryuuou","",""
"ht","ht.rsn","Hurricanes Trainer","",""
"hulk","hulk.rsn","The Incredible Hulk","",""
"hvbsv","hvbsv.rsn","Hyper V-Ball (Super Volley II)","",""
"hyst","hyst.rsn","Hysteria","",""
"hzkd","hzkd.rsn","Hansei Zarujirou Kun no Daibouken (Spanky's Quest)","",""
"ihrsd","ihrsd.rsn","Itou Hatasu Rokudan no Shougi Dojo","",""
"ini","ini.rsn","Inindo: Way of the Ninja (Super Inindo: Datou Nobunaga)","",""
"ipgt","ipgt.rsn","Ippatsu Gyakuten: Keiba Keirin Kyotei","",""
"isbv","isbv.rsn","Inazuma Serve da!!","",""
"isg","isg.rsn","Itchy and Scratchy Game","",""
"jbook","jbook.rsn","The Jungle Book","",""
"jerry","jerry.rsn","Jerry Boy (Smartball)","",""
"jets","jets.rsn","Jetsons: Invasion of the Planet Pirates","",""
"jgk","jgk.rsn","Janyuuki Gokuu Randa","",""
"jle95","jle95.rsn","J-League Excite Stage '95","",""
"jlss","jlss.rsn","J-League Super Soccer (Virtual Soccer)","",""
"jlwc","jlwc.rsn","Jim Lee's Wild C.A.T.S.","",""
"jop","jop.rsn","Jikkyou Oshaberi Parodius (Parodius 3)","",""
"kakj","kakj.rsn","King Arthur and the Knights of Justice","",""
"kan","kan.rsn","BS Gal Kan Bazooka Dai-5-Kan","",""
"kbgg","kbgg.rsn","Kidou Butoden G-Gundam","",""
"kctgg","kctgg.rsn","Kingyo Chuihou! Tobidase Game Gakuen","",""
"kdb","kdb.rsn","Kunio-Kun no Dodgeball","",""
"kdz2","kdz2.rsn","Kishin Douji Zenki: Denei Raibu","",""
"kgjb","kgjb.rsn","Ken Griffey Jr. Presents: Major League Baseball","",""
"khb","khb.rsn","Koi ha Balance - Battle of Lovers","",""
"khksc","khksc.rsn","Katou Hifumi Kudan Shougi Club","",""
"kiki","kiki.rsn","Kiki Kaikai (Pocky & Rocky)","",""
"kiki3","kiki3.rsn","Kiki Kaikai 3 (Pocky & Rocky 2)","",""
"kkk","kkk.rsn","Kirby's Kira Kira Kids","",""
"kmjdo","kmjdo.rsn","Kikuni Masahiko no Jantoushi Dora Ou","",""
"knm","knm.rsn","Kouryu no Mimi","",""
"knoh","knoh.rsn","BS Kirby no Omocha Hako: Baseball","",""
"knok","knok.rsn","Kirby no Omochabako: Hoshi Kuzushi","",""
"kod","kod.rsn","The King of Dragons","",""
"konae","konae.rsn","Konae-Chan no DokiDoki Pengin Kazoku","",""
"kor","kor.rsn","The King of Rally","",""
"krmt","krmt.rsn","Kabuki-chou Reach Mahjong Tonpuu Sen","",""
"krsd","krsd.rsn","Kamen Rider SD: Shutsugeki!! Rider Machine","",""
"ksfh","ksfh.rsn","Krusty's Super Funhouse","",""
"kstwb","kstwb.rsn","Shigetaka Kashiwagi's Top Water Bassing","",""
"ktb","ktb.rsn","Shin Nekketsu Kouha: Kunio Tachi no Bannka","",""
"ktsz","ktsz.rsn","Kaizou Tyoujin Shubibinman Zero","",""
"kybr","kybr.rsn","Keiba Yosou: Baken Renkinjutsu","",""
"lb3","lb3.rsn","Last Bible 3","",""
"lion","lion.rsn","The Lion King","",""
"lmm","lmm.rsn","The Lawnmower Man","",""
"ln","ln.rsn","Paladin's Quest (Lennus)","",""
"loz3","loz3.rsn","The Legend of Zelda: A Link to the Past","",""
"m97gb","m97gb.rsn","Madden '97 (Super Gameboy)","",""
"macs","macs.rsn","M.A.C.S. Basic Rifle Simulator","",""
"majt","majt.rsn","The Mahjong Touhaiden","",""
"mama","mama.rsn","Makeruna Makendou (Kendo Rage)","",""
"marv","marv.rsn","Daffy Duck: The Marvin Missions","",""
"mathb","mathb.rsn","Math Blaster: Episode One","",""
"mboy","mboy.rsn","Magicboy","",""
"mc","mc.rsn","Metal Combat: Flacon's Revenge","",""
"mdrs","mdrs.rsn","Youchien Senki Madara Saga","",""
"mhnr","mhnr.rsn","Mahjong Hishouden: Naki no Ryuu","",""
"milk","milk.rsn","BS Dan Dan Belt Conveyor Milk no Maki","",""
"mjcwc","mjcwc.rsn","Michael Jordan: Chaos in the Windy City","",""
"mk2","mk2.rsn","Mortal Kombat 2","",""
"mk3","mk3.rsn","Mortal Kombat 3 (Ultimate Mortal Kombat)","",""
"mkr","mkr.rsn","Mahou Kishi Reiasu (Magic Knight Rayearth)","",""
"mlm","mlm.rsn","Mega-Lo-Mania","",""
"mm","mm.rsn","Mickey Mania: The Timeless Adventures of Mickey Mouse","",""
"mm2","mm2.rsn","Might and Magic 2 (European Version)","",""
"mm2j","mm2j.rsn","Might and Magic 2 (Japanese Version)","",""
"mm3","mm3.rsn","Might and Magic 3","",""
"mms","mms.rsn","Megaman Soccer","",""
"mo2","mo2.rsn","Earthbound (Mother 2)","",""
"mode","mode.rsn","Modular Escape","",""
"mono","mono.rsn","Monopoly (Western version)","",""
"mpjp","mpjp.rsn","Monopoly (Japanese Version)","",""
"mq","mq.rsn","The Magical Quest starring Mickey Mouse","",""
"mq2","mq2.rsn","The Magical Quest 2: The Great Circus Mystery","",""
"mq3","mq3.rsn","The Magical Quest 3","",""
"msg","msg.rsn","Metal Slader Glory: Director's Cut","",""
"msp","msp.rsn","Mario's Super Picross","",""
"mulan","mulan.rsn","Mulan (Super Gameboy)","",""
"musya","musya.rsn","Gousou Jinrai Densetsu Musya (Musya: Imoto's Saga)","",""
"n517","n517.rsn","BS Nintendo HP 5-17","",""
"n531","n531.rsn","BS Nintendo HP 5-31","",""
"nbagg","nbagg.rsn","NBA Give 'N Go (NBA Jikkyou Basket Winning Dunk)","",""
"nbb","nbb.rsn","Nobunaga no Yabou Busyo Fuunroku","",""
"nbt","nbt.rsn","Nobunaga no Yabou Tenshouki","",""
"nbz","nbz.rsn","Nobunaga no Yabou Zenkokuban (Nobunaga's Ambition)","",""
"ngt","ngt.rsn","Ninja Gaiden Triology","",""
"nhic","nhic.rsn","Newman-Haas Indy Car Racing","",""
"nibus","nibus.rsn","Nightmare Busters (Beta)","",""
"nwd","nwd.rsn","N-Warp Daisakusen","",""
"obbf","obbf.rsn","Ohmono Black Bass Fishing - Jinzouko Hen (Mark Davis' The Fishing Master)","",""
"obg","obg.rsn","Out of Bounds Golf","",""
"odanb","odanb.rsn","Oda Nobunaga: Haou no Gundan","",""
"oeptv","oeptv.rsn","Operation Europe: Path to Victory","",""
"oozta","oozta.rsn","Ozumou Tamashii","",""
"osggb","osggb.rsn","Olympic Summer Games (Super Gameboy)","",""
"otk","otk.rsn","Ongaku Tukuoolu Kanadeeru","",""
"pacm2","pacm2.rsn","Pac-Man 2: The New Adventures","",""
"peye","peye.rsn","Popeye: Ijiwaru Majo Sea Hag No Maki","",""
"pfma","pfma.rsn","Pitfall: The Mayan Adventure","",""
"piece","piece.rsn","Pieces (Jigsaw Party)","",""
"piggs","piggs.rsn","Power Piggs of the Dark Ages","",""
"pkn","pkn.rsn","Poko-Nyan!","",""
"pmkgb","pmkgb.rsn","Pro Mahjong Kiwame GB (Super Gameboy)","",""
"pms","pms.rsn","Parlor! Mini series (BGM Compilation)","",""
"pnyd","pnyd.rsn","Poko-Nyan! Yume no Daibouken (Super Gameboy)","",""
"poca","poca.rsn","Pocahontas (Super Gameboy)","",""
"poke","poke.rsn","BS Pokekame Magajin","",""
"pp","pp.rsn","Kyouraku Sanyou Toyomaru Parlor Parlor!","",""
"pp2","pp2.rsn","Kyouraku Sanyou Toyomaru Daiichi Maruhon Parlor Parlor! 2","",""
"pp3","pp3.rsn","Kyouraku Sanyou Toyomaru Okumura Taiyou Parlor Parlor! 3","",""
"pp4","pp4.rsn","Kyouraku Sanyou Toyomaru Okumura Daiichi Maruhon Parlor Parlor! 4 CR","",""
"pp5","pp5.rsn","Kyouraku Sanyou Maruhon Parlor Parlor! 5","",""
"prfe","prfe.rsn","Power Rangers: The Fighting Edition","",""
"prmv","prmv.rsn","Mighty Morphin' Power Rangers: The Movie","",""
"prt","prt.rsn","Pachinko Renchan Tengoku: Super CR Special","",""
"psfx","psfx.rsn","Power Slide FX","",""
"ptss","ptss.rsn","Pachinko Tetsujin: Shichiban Shoubu","",""
"pubo","pubo.rsn","Puzzle Bobble (Bust-A-Move)","",""
"rbs","rbs.rsn","Rushing Beat Syura (Peace Keepers)","",""
"rckf","rckf.rsn","Rockfall","",""
"rd","rd.rsn","Radical Dreamers","",""
"rf","rf.rsn","Rockman and Forte (Megaman and Bass)","",""
"rhdz","rhdz.rsn","Ryukiheidan Danzarubu","",""
"rjc","rjc.rsn","Rejoice: Aretha Oukoku no Kanata","",""
"rk","rk.rsn","Riverse Kids","",""
"rmath","rmath.rsn","Ranma 1/2: Akaneko-dan Teki Hihou","",""
"rmbr","rmbr.rsn","Ranma 1/2: Bakuretsu Rantouhen","",""
"rmk","rmk.rsn","RPG Maker","",""
"rmk2","rmk2.rsn","RPG Maker 2","",""
"rml","rml.rsn","Rocko's Modern Life: Spunky's Dangerous Day","",""
"rnk2","rnk2.rsn","Ryuuko no Ken 2 (Art of Fighting 2)","",""
"rnsb","rnsb.rsn","Ren & Stimpy: Buckeroo$","",""
"rrr","rrr.rsn","Rock 'n' Roll Racing","",""
"rstw","rstw.rsn","Ren and Stimpy: Time Warp","",""
"rtk2","rtk2.rsn","Super Romance of the Three Kingdoms 2 (Super Sangokushi 2)","",""
"rtk3","rtk3.rsn","Sangokushi 3 (Romance of the Three Kingdoms 3)","",""
"rtk4","rtk4.rsn","Sangokushi 4 (Romance of the Three Kingdoms 4)","",""
"rvt","rvt.rsn","Robocop vs. the Terminator","",""
"sa","sa.rsn","Super Aleste (Space Megaforce)","",""
"saf","saf.rsn","Skipp and Friends","",""
"sai2","sai2.rsn","Super Adventure Island 2","",""
"sate","sate.rsn","BS SatesupuDX 4","",""
"saxar","saxar.rsn","Spiderman and the X-Men: Arcade's Revenge","",""
"sbb2","sbb2.rsn","Super Black Bass 2 (Bassin's Black Bass)","",""
"sbc","sbc.rsn","Shien: The Blade Chaser (Shien's Revenge)","",""
"sbn","sbn.rsn","The Simpsons: Bart's Nightmare","",""
"scd","scd.rsn","Scooby Doo Mysteries","",""
"scme","scme.rsn","Super Conflict: The Mideast","",""
"scp","scp.rsn","Super Caesar's Palace","",""
"scv4","scv4.rsn","Super Castlevania 4","",""
"sdg2","sdg2.rsn","SD Gundam 2","",""
"sdgb","sdgb.rsn","SD Great Battle","",""
"sdgg","sdgg.rsn","SD Gundam Gaiden: Knight Gundam Monogatari Ooinaru Isan","",""
"sdgg2","sdgg2.rsn","SD Gundam Gaiden 2: Entaku no Kishi","",""
"sdgpf","sdgpf.rsn","SD Gundam Power Formation Puzzle","",""
"sdgx","sdgx.rsn","SD Gundam X: Super Gachapon World","",""
"sdpf","sdpf.rsn","Seifuku Densetsu - Pretty Fighter","",""
"sesb","sesb.rsn","Super Star Wars: The Empire Strikes Back","",""
"sf2t","sf2t.rsn","Street Fighter 2 Turbo","",""
"sfcb","sfcb.rsn","Super Famicom Box BIOS","",""
"sff","sff.rsn","Sankyou Fever Fever!","",""
"sfs","sfs.rsn","Super Formation Soccer (Super Soccer)","",""
"sftr","sftr.rsn","Starfield Trainer","",""
"sfx2","sfx2.rsn","Star Fox 2 (never released to public)","",""
"sg10g","sg10g.rsn","St. Giga 10gatsu Gou","",""
"sg3","sg3.rsn","The Shinri Game 3","",""
"sggb","sggb.rsn","Speedy Gonzalez in Los Gatos Banditos","",""
"sgn","sgn.rsn","Super Gomoku Narabe Renju","",""
"sgng","sgng.rsn","Super Ghouls 'n' Ghosts","",""
"shas","shas.rsn","Shonen Ashibe","",""
"shed","shed.rsn","Shiki Eiyuu Den: Jinryuu Densetsu","",""
"shg","shg.rsn","Shanghai: Banri no Tyojyo ~ The Great Wall","",""
"shg2","shg2.rsn","Shanghai 2: Dragon's Eye","",""
"shuso","shuso.rsn","Sailor Moon Super S: Zenin Sanka!! Shuyaku Soudatsusen","",""
"sicfb","sicfb.rsn","Sports Illustrated Championship Football and Baseball","",""
"sis","sis.rsn","Shin Ikkaku Senkin","",""
"sisgb","sisgb.rsn","Space Invaders (Super Game Boy)","",""
"sjp3","sjp3.rsn","Super James Pond 3","",""
"skab2","skab2.rsn","Sougou Kakutougi Astral Bout 2: The Total Fighters","",""
"skyin","skyin.rsn","Super Koukou Yakyuu: Ikkyuu Nyuukon","",""
"smbb","smbb.rsn","Seijuu Maden - Beasts & Blades","",""
"smeb","smeb.rsn","Super Mario Excitebike","",""
"smffp","smffp.rsn","Sailor Moon Super S: Fuwa Fuwa Panic","",""
"smlf","smlf.rsn","Spiderman: Lethal Foes","",""
"smoon","smoon.rsn","Sailor Moon: Another Story","",""
"smsjr","smsjr.rsn","Bishoujo Senshi Sailormoon S: Jougai Rantou","",""
"smsk","smsk.rsn","Sailor Moon S: Kurukkurin","",""
"smso","smso.rsn","Small Soldiers (Super Gameboy)","",""
"smspo","smspo.rsn","Bishoujo Senshi Sailormoon S: Kondoha Puzzle de Oshiokiyo!","",""
"smsv","smsv.rsn","Shooting Macross: Scrambled Valkyrie","",""
"smt2","smt2.rsn","Shin Megami Tensei 2","",""
"smti","smti.rsn","Shin Megami Tensei: If...","",""
"smurf","smurf.rsn","The Smurfs","",""
"smurf2","smurf2.rsn","The Smurfs 2","",""
"snbb","snbb.rsn","Sporting News Baseball","",""
"sngks","sngks.rsn","Super Sangokushi (Super Romance of the Three Kingdoms)","",""
"snpw","snpw.rsn","Shin Nippon Pro Wrestling: Chou Senshi in Tokyo Dome","",""
"snspm","snspm.rsn","Shodankurai Nintei Shodan Pro Mahjong","",""
"snw94","snw94.rsn","Shin Nihon Pro Wrestling '94","",""
"snz2","snz2.rsn","Super Nazo Puyo 2 - Rulue no Tetsuwan Hanjyou Ki","",""
"sond","sond.rsn","Super Oozumou Netsusen Daiichiban","",""
"sortb","sortb.rsn","Super Off Road: The Baja","",""
"sos","sos.rsn","S.O.S.","",""
"soulb","soulb.rsn","Soul Blade (Pirate)","",""
"sp","sp.rsn","Bishoujo Janshi Suuchiipai","",""
"spbtm","spbtm.rsn","Super Pinball: Behind the Mask","",""
"srb","srb.rsn","Super Royal Blood (Gemfire)","",""
"srt3","srt3.rsn","Super Robot Taisen 3","",""
"srt4","srt4.rsn","Super Robot Taisen 4","",""
"srtg","srtg.rsn","Super Robot Taisen Gaiden: Masoukishin - The Lord of Elemental","",""
"srtj","srtj.rsn","Super Star Wars: Return of the Jedi","",""
"srtls","srtls.rsn","Shiroi Ring he: Twinkle Little Star","",""
"ssds","ssds.rsn","Shin SD Sengokuden: Daishougun Retsuden","",""
"sse2e","sse2e.rsn","Sterling Sharpe: End 2 End","",""
"sslsa","sslsa.rsn","Shijou Saikyou League Serie A: Ace Striker","",""
"sswap","sswap.rsn","BS Sousa Sentai Wappers","",""
"st2l","st2l.rsn","Super Tetris 2 + Bombliss Limited Edition","",""
"stf","stf.rsn","Super Tekkyu Fight!","",""
"stg","stg.rsn","Strike Gunner STG","",""
"stn","stn.rsn","Star Trek: The Next Generation","",""
"sts","sts.rsn","Special Tee Shot","",""
"stsfa","stsfa.rsn","Star Trek: Starfleet Academy: Ship Bridge Simulator","",""
"stv","stv.rsn","Super Smash TV","",""
"suftu","suftu.rsn","Sufami Turbo BIOS","",""
"sv4","sv4.rsn","Super Valis 4","",""
"svmc","svmc.rsn","Spider-Man and Venom: Maximum Carnage","",""
"svsa","svsa.rsn","Spider-Man & Venom: Separation Anxiety","",""
"swc","swc.rsn","Super Wild Card","",""
"swhea","swhea.rsn","Snow White: Happily Ever After","",""
"syaro","syaro.rsn","Sutobasu Yarou Show: 3 on 3 Basketball","",""
"syl","syl.rsn","Shoot Your Load","",""
"syobo","syobo.rsn","Super Syobo Syobo CG Collection","",""
"t2jd","t2jd.rsn","Terminator 2: Judgment Day","",""
"t2tag","t2tag.rsn","T2: The Arcade Game","",""
"ta","ta.rsn","Tetris Attack (Panel de Pon)","",""
"tamo","tamo.rsn","Waratte Iitomo! Tamorinpic","",""
"tbnfz","tbnfz.rsn","Turn and Burn: No Fly Zone","",""
"tcx","tcx.rsn","Treasure Conflix","",""
"tdm","tdm.rsn","Tetris and Dr. Mario","",""
"test","test.rsn","SNES Test Program","",""
"tick","tick.rsn","The Tick","",""
"tit","tit.rsn","Teenage Mutant Ninja Turtles IV: Turtles in Time","",""
"tj","tj.rsn","Tom and Jerry","",""
"tkrsd","tkrsd.rsn","Taikou Rissiden","",""
"tlb","tlb.rsn","The Last Battle","",""
"tmnt5","tmnt5.rsn","Teenage Mutant Ninja Turtles: Tournament Fighters","",""
"tnu","tnu.rsn","Tenshi no Uta: Shiroki Tsubasa no Inori","",""
"tnw","tnw.rsn","The Ninja Warriors","",""
"torsh","torsh.rsn","Tsuppari Oozumo Rissin Shusse Hen","",""
